num_point,latitude,longitude,timestamp
0,45.1843221745,5.7254708168,2016-01-20 08:31:37
1,45.1843725942,5.7255888354,2016-01-20 08:31:44
2,45.1844475174,5.7256646769,2016-01-20 08:31:54
3,45.1845420775,5.7256273005,2016-01-20 08:32:13
4,45.1846309419,5.725589631,2016-01-20 08:32:22
5,45.184697533,5.7254966661,2016-01-20 08:32:28
6,45.1846887307,5.725624452,2016-01-20 08:33:12
7,45.1847275969,5.7257554047,2016-01-20 08:33:17
8,45.1847755642,5.7258849122,2016-01-20 08:33:23
9,45.1848253077,5.7259977035,2016-01-20 08:33:30
10,45.1848782603,5.7261091191,2016-01-20 08:33:38
11,45.1848987917,5.726253237,2016-01-20 08:33:46
12,45.1848932526,5.7263850879,2016-01-20 08:33:53
13,45.1849401633,5.7265017642,2016-01-20 08:34:02
14,45.1849831775,5.7266155665,2016-01-20 08:34:07
15,45.1850516563,5.7267378317,2016-01-20 08:34:12
16,45.1851469522,5.7267650521,2016-01-20 08:34:20
17,45.1852352012,5.7268205451,2016-01-20 08:34:26
18,45.1853012042,5.7269166877,2016-01-20 08:34:33
19,45.1853623361,5.7270237861,2016-01-20 08:34:39
20,45.1854157298,5.7271342529,2016-01-20 08:34:45
21,45.1854792631,5.7272422004,2016-01-20 08:34:50
22,45.1855295569,5.7273784973,2016-01-20 08:34:56
23,45.1855499701,5.7275187209,2016-01-20 08:35:00
24,45.1855254898,5.7276413829,2016-01-20 08:35:07
25,45.1854424345,5.7277104044,2016-01-20 08:35:15
26,45.1853477458,5.7276842096,2016-01-20 08:35:26
27,45.1854303366,5.7277470901,2016-01-20 08:35:34
28,45.1855145134,5.7278442723,2016-01-20 08:35:39
29,45.1855526106,5.7279760585,2016-01-20 08:35:44
30,45.1855653372,5.7281287757,2016-01-20 08:35:49
31,45.1855745796,5.7282683976,2016-01-20 08:35:53
32,45.1856296984,5.7283825485,2016-01-20 08:35:59
33,45.1857113938,5.7284730974,2016-01-20 08:36:04
34,45.1857887972,5.7285580164,2016-01-20 08:36:08
35,45.1858638381,5.7286610262,2016-01-20 08:36:12
36,45.1859007725,5.7287881519,2016-01-20 08:36:16
37,45.1859387597,5.7289265297,2016-01-20 08:36:22
38,45.185941681,5.7290707413,2016-01-20 08:36:30
39,45.1859413069,5.729205968,2016-01-20 08:36:38
40,45.1858806177,5.7293183099,2016-01-20 08:36:48
41,45.1858105655,5.7293992176,2016-01-20 08:36:53
42,45.1857515392,5.7295008477,2016-01-20 08:36:58
43,45.1857081749,5.7296323957,2016-01-20 08:37:03
44,45.1856745721,5.7297759305,2016-01-20 08:37:09
45,45.1856547798,5.72991255,2016-01-20 08:37:15
46,45.1856378629,5.730044305,2016-01-20 08:37:21
47,45.1856398173,5.7302029763,2016-01-20 08:37:40
48,45.1856577078,5.7303327462,2016-01-20 08:37:44
49,45.1856748236,5.7304862995,2016-01-20 08:37:49
50,45.1857090936,5.7306073148,2016-01-20 08:37:58
51,45.185748487,5.7307223636,2016-01-20 08:38:08
52,45.1856988465,5.7308864282,2016-01-20 08:38:14
53,45.1856433133,5.7309956504,2016-01-20 08:38:16
