num_point,latitude,longitude,timestamp
0,45.1866382006,5.7384024096,2015-11-13 08:51:51
1,45.1865449317,5.7384124232,2015-11-13 08:52:01
2,45.1864653314,5.7383489198,2015-11-13 08:52:07
3,45.1864053919,5.738249251,2015-11-13 08:52:16
4,45.1863362228,5.7381345896,2015-11-13 08:52:26
5,45.1862572954,5.7380381991,2015-11-13 08:52:31
6,45.1861675651,5.7379700901,2015-11-13 08:52:37
7,45.1860720808,5.7379514084,2015-11-13 08:52:44
8,45.18597685,5.7379453231,2015-11-13 08:52:52
9,45.1858900477,5.7379102779,2015-11-13 08:52:59
10,45.1857942467,5.7379186877,2015-11-13 08:53:08
11,45.1856866888,5.737940792,2015-11-13 08:53:14
12,45.185582511,5.7379439152,2015-11-13 08:53:19
13,45.1854941516,5.7379711608,2015-11-13 08:53:25
14,45.1854239485,5.7380755351,2015-11-13 08:53:33
15,45.1853744238,5.7381953864,2015-11-13 08:53:38
16,45.1852998887,5.7382701516,2015-11-13 08:53:46
17,45.1852007752,5.7382919517,2015-11-13 08:53:53
18,45.1851021241,5.7382960224,2015-11-13 08:54:01
19,45.1850134532,5.738359088,2015-11-13 08:54:08
20,45.1849317482,5.7384421073,2015-11-13 08:54:14
21,45.1848545186,5.7385225336,2015-11-13 08:54:20
22,45.1847815406,5.7386035471,2015-11-13 08:54:28
23,45.1846989407,5.7386764885,2015-11-13 08:54:39
24,45.1846180618,5.7387445019,2015-11-13 08:54:45
25,45.1845395353,5.7388115126,2015-11-13 08:54:52
26,45.1844561872,5.7388715027,2015-11-13 08:54:57
27,45.1843709258,5.7389238673,2015-11-13 08:55:01
28,45.1842760041,5.7389832691,2015-11-13 08:55:07
29,45.1841913715,5.7390500861,2015-11-13 08:55:15
30,45.1841042755,5.7391020813,2015-11-13 08:55:21
31,45.1840141099,5.7391160355,2015-11-13 08:55:25
32,45.1839181984,5.739070975,2015-11-13 08:55:31
33,45.1838789218,5.738946382,2015-11-13 08:55:37
34,45.1838509567,5.7388106963,2015-11-13 08:55:43
35,45.1838023639,5.7386849868,2015-11-13 08:55:50
36,45.1837555139,5.7385737551,2015-11-13 08:55:55
37,45.1837223083,5.7384514694,2015-11-13 08:56:04
38,45.1836901482,5.7383191062,2015-11-13 08:56:12
39,45.1836409975,5.7381901409,2015-11-13 08:56:20
40,45.1835901217,5.738060951,2015-11-13 08:56:25
41,45.1835413254,5.7379466083,2015-11-13 08:56:31
42,45.1834983083,5.7378260981,2015-11-13 08:56:38
43,45.1834378774,5.7377124972,2015-11-13 08:56:44
44,45.183377516,5.7375999346,2015-11-13 08:56:50
45,45.1833176253,5.7375032044,2015-11-13 08:56:56
46,45.1833003475,5.737374563,2015-11-13 08:57:05
47,45.183259508,5.7372609254,2015-11-13 08:57:11
48,45.1832132149,5.7371395872,2015-11-13 08:57:20
49,45.1831519913,5.7370307518,2015-11-13 08:57:26
50,45.1830939103,5.7369305121,2015-11-13 08:57:32
51,45.1830391909,5.736815112,2015-11-13 08:57:39
52,45.1829662544,5.7367255755,2015-11-13 08:57:47
53,45.1829039802,5.7366141664,2015-11-13 08:57:55
54,45.1828500075,5.7364930727,2015-11-13 08:57:59
55,45.1828129008,5.7363491381,2015-11-13 08:58:03
56,45.1827773992,5.7361935138,2015-11-13 08:58:07
57,45.1827343373,5.7360394261,2015-11-13 08:58:11
58,45.1826926947,5.7359231633,2015-11-13 08:58:15
59,45.1826446072,5.7357937768,2015-11-13 08:58:20
60,45.1825904633,5.7356648713,2015-11-13 08:58:25
61,45.182525819,5.73555154,2015-11-13 08:58:30
62,45.1824611092,5.7354420698,2015-11-13 08:58:35
63,45.1824078561,5.7353166711,2015-11-13 08:58:40
64,45.1823685941,5.735201294,2015-11-13 08:58:44
65,45.1823185168,5.7350760238,2015-11-13 08:58:49
