num_point,latitude,longitude,timestamp
0,45.18215637,5.73444549,2015-01-26 18:27:03
1,45.1821187891,5.7345663774,2015-01-26 18:27:10
2,45.1821322132,5.7346944239,2015-01-26 18:27:18
3,45.182195469,5.7348288505,2015-01-26 18:27:22
4,45.1822424049,5.7349717553,2015-01-26 18:27:25
5,45.1822800043,5.7351146675,2015-01-26 18:27:28
6,45.1823066519,5.7352586401,2015-01-26 18:27:31
7,45.1823404187,5.7353919049,2015-01-26 18:27:34
8,45.182387206,5.7355049349,2015-01-26 18:27:37
9,45.1824688268,5.7356204343,2015-01-26 18:27:41
10,45.1825523344,5.7356956623,2015-01-26 18:27:46
11,45.1826255038,5.7358152268,2015-01-26 18:27:51
12,45.1826701503,5.7359259254,2015-01-26 18:27:54
13,45.1827106774,5.7360494864,2015-01-26 18:27:57
14,45.1827449963,5.7361919407,2015-01-26 18:28:01
15,45.1827731252,5.7363408916,2015-01-26 18:28:06
16,45.1828350442,5.7364763582,2015-01-26 18:28:10
17,45.1829074932,5.7366066587,2015-01-26 18:28:14
18,45.1830079297,5.7366954859,2015-01-26 18:28:18
19,45.1831058936,5.736776454,2015-01-26 18:28:22
20,45.1832030316,5.7368288401,2015-01-26 18:28:26
21,45.1832829409,5.736912368,2015-01-26 18:28:30
22,45.1833252354,5.7370725472,2015-01-26 18:28:34
23,45.1833248175,5.7372250708,2015-01-26 18:28:37
24,45.1833247989,5.7373663855,2015-01-26 18:28:40
25,45.1833217173,5.7374945761,2015-01-26 18:28:43
26,45.1833197704,5.7376637033,2015-01-26 18:28:47
27,45.1833627582,5.7378224779,2015-01-26 18:28:51
28,45.1834188434,5.7379229173,2015-01-26 18:28:54
29,45.183486572,5.7380101322,2015-01-26 18:28:57
30,45.1835737776,5.7381093618,2015-01-26 18:29:01
31,45.1836267459,5.7382149207,2015-01-26 18:29:05
32,45.1836786915,5.7383223468,2015-01-26 18:29:09
33,45.1837294045,5.7384430636,2015-01-26 18:29:13
34,45.183784161,5.7385697878,2015-01-26 18:29:17
35,45.1838428579,5.7387059595,2015-01-26 18:29:21
36,45.1838967922,5.7388513438,2015-01-26 18:29:25
37,45.1839411938,5.7389920512,2015-01-26 18:29:29
38,45.1839908021,5.739121903,2015-01-26 18:29:33
39,45.1840276218,5.7392405851,2015-01-26 18:29:37
40,45.1840740216,5.7393797015,2015-01-26 18:29:42
41,45.184095457,5.7395232307,2015-01-26 18:29:47
42,45.1841520166,5.739651671,2015-01-26 18:29:53
43,45.1842071737,5.7397676253,2015-01-26 18:29:57
44,45.184266536,5.7399043605,2015-01-26 18:30:01
45,45.1843195666,5.7400421466,2015-01-26 18:30:05
46,45.1843657292,5.7401803758,2015-01-26 18:30:09
47,45.1844100266,5.740320882,2015-01-26 18:30:13
48,45.1844408625,5.7404792945,2015-01-26 18:30:17
49,45.1844802394,5.7406215983,2015-01-26 18:30:21
50,45.1845427692,5.7407293882,2015-01-26 18:30:25
51,45.1846231468,5.7408204276,2015-01-26 18:30:29
52,45.1847234717,5.7409153253,2015-01-26 18:30:33
53,45.1847948965,5.7409978551,2015-01-26 18:30:36
54,45.1848656577,5.7411281849,2015-01-26 18:30:40
55,45.1849189282,5.7412611165,2015-01-26 18:30:44
56,45.1849715493,5.741369407,2015-01-26 18:30:48
57,45.185039638,5.7414681511,2015-01-26 18:30:52
58,45.1851247419,5.7415583841,2015-01-26 18:30:56
59,45.1851980874,5.7416418476,2015-01-26 18:31:00
60,45.1852614605,5.7417655536,2015-01-26 18:31:04
61,45.1853189783,5.7418641307,2015-01-26 18:31:07
62,45.1853760856,5.7419694166,2015-01-26 18:31:10
63,45.1854290352,5.7420754962,2015-01-26 18:31:13
64,45.1854997979,5.7421992101,2015-01-26 18:31:17
65,45.1855694839,5.7423055916,2015-01-26 18:31:21
66,45.1856333582,5.7424060639,2015-01-26 18:31:25
67,45.1856854883,5.7425186243,2015-01-26 18:31:29
68,45.1857475419,5.7426256189,2015-01-26 18:31:33
69,45.1858128369,5.7427281196,2015-01-26 18:31:37
70,45.1859037133,5.7427814411,2015-01-26 18:31:41
71,45.1860042533,5.7427652053,2015-01-26 18:31:45
72,45.1861046153,5.7427124213,2015-01-26 18:31:49
73,45.1862105123,5.7426785953,2015-01-26 18:31:53
74,45.1863136878,5.7426601467,2015-01-26 18:31:57
75,45.186404201,5.7426290301,2015-01-26 18:32:01
