num_point,latitude,longitude,timestamp
0,45.1843673753,5.7381378781,2016-01-22 09:07:11
1,45.1844358601,5.7382256677,2016-01-22 09:07:17
2,45.1844780196,5.7383474139,2016-01-22 09:07:23
3,45.1845308606,5.7384510282,2016-01-22 09:07:30
4,45.1846183302,5.7385051369,2016-01-22 09:07:42
5,45.18467944,5.7386000765,2016-01-22 09:07:54
6,45.1846475786,5.738722811,2016-01-22 09:08:12
7,45.1845719428,5.7387926718,2016-01-22 09:08:21
8,45.1844904564,5.7388764578,2016-01-22 09:08:25
9,45.1844146924,5.7389496138,2016-01-22 09:08:29
10,45.1843094208,5.7390231377,2016-01-22 09:08:37
11,45.1841885002,5.7390487974,2016-01-22 09:08:40
12,45.184065235,5.7390735988,2016-01-22 09:08:43
13,45.1839657781,5.7390922996,2016-01-22 09:08:47
14,45.1838757374,5.7390778587,2016-01-22 09:08:55
15,45.1838069018,5.7389900813,2016-01-22 09:09:01
16,45.1838175491,5.7388527432,2016-01-22 09:09:09
17,45.183803813,5.7387248569,2016-01-22 09:09:18
18,45.1837579622,5.7385900611,2016-01-22 09:09:26
19,45.1837050741,5.7384804783,2016-01-22 09:09:33
20,45.1836508181,5.738377452,2016-01-22 09:09:41
21,45.1836078136,5.7382479776,2016-01-22 09:09:49
22,45.1835593588,5.7381337311,2016-01-22 09:09:59
23,45.1835006894,5.7380190867,2016-01-22 09:10:06
24,45.183458231,5.737897465,2016-01-22 09:10:16
25,45.1834241749,5.73776109,2016-01-22 09:10:23
26,45.1833714818,5.7376439051,2016-01-22 09:10:28
27,45.1833296795,5.7375244113,2016-01-22 09:10:40
28,45.1832840506,5.7373877147,2016-01-22 09:10:45
29,45.1832413213,5.7372622827,2016-01-22 09:10:52
30,45.1831760534,5.7371687337,2016-01-22 09:11:00
31,45.1831716176,5.737020384,2016-01-22 09:11:17
32,45.1831663697,5.7368765945,2016-01-22 09:11:20
33,45.1831477413,5.7367488312,2016-01-22 09:11:23
34,45.1830954872,5.7366080775,2016-01-22 09:11:28
35,45.1830262191,5.7365082831,2016-01-22 09:11:33
36,45.1829593814,5.7364167392,2016-01-22 09:11:38
37,45.1828946723,5.7363176671,2016-01-22 09:11:43
38,45.1828436688,5.7362056541,2016-01-22 09:11:50
39,45.1827935036,5.736096209,2016-01-22 09:11:59
40,45.182737173,5.735988715,2016-01-22 09:12:11
41,45.1826895223,5.735873415,2016-01-22 09:12:19
42,45.182624745,5.7357804264,2016-01-22 09:12:25
43,45.1825704433,5.7356726438,2016-01-22 09:12:34
44,45.1825364992,5.7355282371,2016-01-22 09:12:43
45,45.1824949663,5.7354120763,2016-01-22 09:12:46
46,45.1824351398,5.7352908282,2016-01-22 09:12:51
47,45.1823833514,5.7351853962,2016-01-22 09:12:57
48,45.1823269997,5.7350811217,2016-01-22 09:13:02
49,45.1822663611,5.7349455062,2016-01-22 09:13:07
50,45.1822126076,5.7348137715,2016-01-22 09:13:12
