num_point,latitude,longitude,timestamp
0,45.1851411759,5.7315313859,2016-01-28 17:59:31
1,45.1850687769,5.731607576,2016-01-28 17:59:41
2,45.1851186237,5.7317216684,2016-01-28 18:00:43
3,45.1851653738,5.7318506181,2016-01-28 18:00:49
4,45.1852205464,5.7319610925,2016-01-28 18:00:54
5,45.1852828422,5.7320588984,2016-01-28 18:01:00
6,45.1852924789,5.7321935261,2016-01-28 18:01:06
7,45.1852681598,5.7323166524,2016-01-28 18:01:11
8,45.1852781225,5.7324460028,2016-01-28 18:01:16
9,45.1853192164,5.7325601516,2016-01-28 18:01:21
10,45.1853842955,5.7326635782,2016-01-28 18:01:28
11,45.1854319191,5.7327821167,2016-01-28 18:01:35
12,45.1854885384,5.7329332846,2016-01-28 18:01:42
13,45.1855281668,5.7330616642,2016-01-28 18:01:49
14,45.185568905,5.7331784887,2016-01-28 18:01:56
15,45.1856067468,5.7333067294,2016-01-28 18:02:02
16,45.1856509649,5.7334348768,2016-01-28 18:02:08
17,45.1857156832,5.7335467943,2016-01-28 18:02:18
18,45.1857700403,5.7336606794,2016-01-28 18:02:24
19,45.1858187372,5.7337852733,2016-01-28 18:02:32
20,45.18585946,5.7339088041,2016-01-28 18:02:40
21,45.1858966232,5.7340330045,2016-01-28 18:02:48
22,45.1859349379,5.7341616328,2016-01-28 18:02:54
23,45.1859891279,5.7342708197,2016-01-28 18:03:00
24,45.1860378006,5.7343842745,2016-01-28 18:03:06
25,45.1860832973,5.7344982912,2016-01-28 18:03:13
26,45.1861415357,5.734605737,2016-01-28 18:03:19
27,45.1862147293,5.7346871782,2016-01-28 18:03:25
28,45.1862887785,5.7347723073,2016-01-28 18:03:32
29,45.1863128784,5.7349004535,2016-01-28 18:03:41
30,45.1863126751,5.7350279582,2016-01-28 18:03:46
31,45.1863088126,5.7351747977,2016-01-28 18:03:52
32,45.1863368542,5.7353078919,2016-01-28 18:04:00
33,45.1863897402,5.7354245306,2016-01-28 18:04:09
34,45.1864508462,5.7355485028,2016-01-28 18:04:14
35,45.1865093335,5.7356499379,2016-01-28 18:04:19
36,45.186557887,5.7357577359,2016-01-28 18:04:30
37,45.1866059365,5.7358677186,2016-01-28 18:04:37
38,45.1866687452,5.7359823955,2016-01-28 18:04:43
39,45.1867378619,5.7360831102,2016-01-28 18:04:50
40,45.1867779755,5.7362088583,2016-01-28 18:04:59
41,45.1867993784,5.7363419975,2016-01-28 18:05:06
42,45.1868375904,5.7364748124,2016-01-28 18:05:13
43,45.1868817621,5.7365989505,2016-01-28 18:05:19
44,45.1869261549,5.7367186026,2016-01-28 18:05:25
45,45.1869751838,5.7368340509,2016-01-28 18:05:30
46,45.1870267849,5.7369549691,2016-01-28 18:05:35
47,45.1870742902,5.7370748031,2016-01-28 18:05:40
48,45.1871243762,5.7372037931,2016-01-28 18:05:45
49,45.1871763194,5.737332373,2016-01-28 18:05:49
50,45.1872284087,5.7374639791,2016-01-28 18:05:53
51,45.1872806843,5.7375854152,2016-01-28 18:05:58
52,45.1873372575,5.7376863925,2016-01-28 18:06:03
53,45.1873988891,5.7378022983,2016-01-28 18:06:08
54,45.1874591358,5.7379123718,2016-01-28 18:06:14
55,45.1875528122,5.7380529031,2016-01-28 18:06:21
56,45.1876326719,5.7381750534,2016-01-28 18:06:25
57,45.1876771513,5.7382903639,2016-01-28 18:06:28
58,45.1877076959,5.7384378492,2016-01-28 18:06:32
59,45.1877221007,5.7385877994,2016-01-28 18:06:37
60,45.1877742936,5.7387084888,2016-01-28 18:06:45
61,45.1878381006,5.7388264046,2016-01-28 18:06:52
62,45.1878941046,5.73894362,2016-01-28 18:06:57
63,45.1879482028,5.7390632113,2016-01-28 18:07:01
64,45.1880083658,5.7391920082,2016-01-28 18:07:05
65,45.1880645503,5.7392988875,2016-01-28 18:07:09
66,45.1881288956,5.7394057862,2016-01-28 18:07:14
67,45.1881944175,5.7394952214,2016-01-28 18:07:18
68,45.1882648683,5.7396169286,2016-01-28 18:07:23
69,45.1883296512,5.7397370809,2016-01-28 18:07:28
70,45.188381312,5.7398683018,2016-01-28 18:07:34
71,45.1884334571,5.7399809584,2016-01-28 18:07:39
72,45.1884912953,5.7401039527,2016-01-28 18:07:44
73,45.1885395395,5.7402436851,2016-01-28 18:07:49
74,45.1885786146,5.7403644339,2016-01-28 18:07:53
75,45.1886024866,5.7404876781,2016-01-28 18:07:58
76,45.1886026921,5.7406202089,2016-01-28 18:08:03
77,45.1885684933,5.7407635493,2016-01-28 18:08:07
78,45.1885162674,5.7408756491,2016-01-28 18:08:10
79,45.1884543461,5.7409791004,2016-01-28 18:08:13
80,45.188379058,5.7410837086,2016-01-28 18:08:17
81,45.1882910917,5.7411765379,2016-01-28 18:08:21
82,45.1882137886,5.7412751235,2016-01-28 18:08:26
83,45.1881456038,5.7413747607,2016-01-28 18:08:31
84,45.1880582822,5.7414619268,2016-01-28 18:08:37
85,45.1879705303,5.7415319607,2016-01-28 18:08:42
86,45.1878937646,5.7416070491,2016-01-28 18:08:47
87,45.1878209342,5.7416875881,2016-01-28 18:08:52
88,45.1877436655,5.7417600117,2016-01-28 18:08:57
89,45.187652374,5.741825941,2016-01-28 18:09:02
90,45.1875418666,5.7418659877,2016-01-28 18:09:06
91,45.1874345032,5.7418913963,2016-01-28 18:09:11
92,45.187337441,5.7419231941,2016-01-28 18:09:16
93,45.1872370672,5.7419512002,2016-01-28 18:09:21
94,45.1871483979,5.7419909753,2016-01-28 18:09:26
95,45.1870619466,5.7420450281,2016-01-28 18:09:30
96,45.1869842249,5.742109914,2016-01-28 18:09:34
97,45.1869085594,5.7421999884,2016-01-28 18:09:38
98,45.1868327407,5.7422818932,2016-01-28 18:09:43
99,45.1867485838,5.742330703,2016-01-28 18:09:47
100,45.1866535316,5.7423754434,2016-01-28 18:09:52
101,45.1865611661,5.7424051305,2016-01-28 18:09:57
102,45.1864732296,5.7424331346,2016-01-28 18:10:02
103,45.1863809008,5.7424643489,2016-01-28 18:10:07
104,45.1862765095,5.7425020854,2016-01-28 18:10:13
105,45.1861889,5.7425417272,2016-01-28 18:10:17
106,45.1860834936,5.7425791487,2016-01-28 18:10:22
107,45.1859966378,5.742612893,2016-01-28 18:10:26
108,45.185911277,5.7426636047,2016-01-28 18:10:31
109,45.185815922,5.7427048805,2016-01-28 18:10:37
110,45.1857276336,5.7426132581,2016-01-28 18:10:43
111,45.1856671041,5.7424903594,2016-01-28 18:10:47
112,45.1856054401,5.7423647811,2016-01-28 18:10:52
113,45.1855392619,5.7422622922,2016-01-28 18:10:57
114,45.1854777025,5.7421562553,2016-01-28 18:11:02
115,45.1854174145,5.7420504209,2016-01-28 18:11:07
116,45.1853519617,5.7419456387,2016-01-28 18:11:12
117,45.1852838828,5.7418373562,2016-01-28 18:11:17
118,45.1852121389,5.7417252799,2016-01-28 18:11:22
119,45.1851348807,5.741632142,2016-01-28 18:11:27
120,45.1850554242,5.7415479104,2016-01-28 18:11:31
121,45.1849784344,5.741448592,2016-01-28 18:11:36
122,45.1849225989,5.7413456813,2016-01-28 18:11:41
123,45.1848734957,5.7412257121,2016-01-28 18:11:46
124,45.1848243424,5.7410979915,2016-01-28 18:11:52
125,45.1847714008,5.7409769633,2016-01-28 18:11:58
126,45.1847138575,5.7408709772,2016-01-28 18:12:03
127,45.1846389435,5.7407551516,2016-01-28 18:12:08
128,45.1845516282,5.7406258576,2016-01-28 18:12:14
129,45.1845022161,5.740518669,2016-01-28 18:12:19
130,45.1844608917,5.740400793,2016-01-28 18:12:24
131,45.1844200337,5.7402831705,2016-01-28 18:12:29
132,45.1843660538,5.7401521934,2016-01-28 18:12:35
133,45.1843116945,5.74003558,2016-01-28 18:12:39
134,45.1842607023,5.739922793,2016-01-28 18:12:43
135,45.1842114536,5.7398101411,2016-01-28 18:12:47
136,45.1841628982,5.7396956201,2016-01-28 18:12:53
137,45.1841406098,5.7395430539,2016-01-28 18:13:01
138,45.1840967409,5.7394279104,2016-01-28 18:13:06
139,45.1840289928,5.739305123,2016-01-28 18:13:11
