num_point,latitude,longitude,timestamp
0,45.1851486238,5.736958944,2016-04-19 17:34:16
1,45.1849471172,5.7368881328,2016-04-19 17:34:18
2,45.1847834572,5.7368093415,2016-04-19 17:34:20
3,45.1846378322,5.7366991227,2016-04-19 17:34:23
4,45.1846395896,5.7364898742,2016-04-19 17:34:30
5,45.1847224179,5.7363039211,2016-04-19 17:34:38
6,45.1846935965,5.7360757501,2016-04-19 17:34:44
7,45.1846197395,5.7359896269,2016-04-19 17:34:46
8,45.1845093449,5.7358984055,2016-04-19 17:34:49
9,45.1844250898,5.7358230822,2016-04-19 17:34:52
10,45.1843643736,5.7356992441,2016-04-19 17:34:56
11,45.1843299013,5.73557724,2016-04-19 17:35:00
12,45.1843425297,5.7354286664,2016-04-19 17:35:05
13,45.18439427,5.7352837562,2016-04-19 17:35:09
14,45.1844333312,5.735168349,2016-04-19 17:35:12
15,45.1844703845,5.7350482916,2016-04-19 17:35:16
16,45.1845004004,5.7349067544,2016-04-19 17:35:21
17,45.1845390275,5.7347790828,2016-04-19 17:35:26
18,45.1846029623,5.7346552604,2016-04-19 17:35:31
19,45.184661708,5.7345453636,2016-04-19 17:35:35
20,45.1847214292,5.7344407407,2016-04-19 17:35:39
21,45.1847919675,5.7343451675,2016-04-19 17:35:45
22,45.1848763944,5.7342545212,2016-04-19 17:35:51
23,45.1849588511,5.7342017198,2016-04-19 17:35:55
24,45.1849859317,5.7343439793,2016-04-19 17:36:03
25,45.1849397829,5.7344570547,2016-04-19 17:36:07
26,45.1849988318,5.7346074639,2016-04-19 17:36:12
27,45.1851016057,5.7347078851,2016-04-19 17:36:15
28,45.1851858724,5.7347982582,2016-04-19 17:36:18
29,45.1852746052,5.7349061703,2016-04-19 17:36:22
30,45.1853439415,5.7350077506,2016-04-19 17:36:26
31,45.1854089949,5.7351168108,2016-04-19 17:36:31
32,45.1854705538,5.7352231421,2016-04-19 17:36:36
33,45.18551023,5.7353632806,2016-04-19 17:36:41
34,45.1855297372,5.7354942023,2016-04-19 17:36:45
35,45.1855655962,5.7356292377,2016-04-19 17:36:49
36,45.1856221426,5.735755811,2016-04-19 17:36:53
37,45.1856958466,5.7358726694,2016-04-19 17:36:57
38,45.1857514189,5.7359836048,2016-04-19 17:37:01
39,45.1857929942,5.736101743,2016-04-19 17:37:05
40,45.1858360325,5.7362233151,2016-04-19 17:37:09
41,45.1858862571,5.7363453075,2016-04-19 17:37:13
42,45.1859288342,5.7364607297,2016-04-19 17:37:17
43,45.1859744539,5.736600561,2016-04-19 17:37:22
44,45.1860212914,5.7367391663,2016-04-19 17:37:27
45,45.1860776469,5.7368746248,2016-04-19 17:37:32
46,45.1861270243,5.7370027844,2016-04-19 17:37:37
47,45.1861810292,5.737137577,2016-04-19 17:37:42
48,45.1862237715,5.7372730142,2016-04-19 17:37:47
49,45.1862686032,5.7374194234,2016-04-19 17:37:52
50,45.1863159264,5.7375362735,2016-04-19 17:37:56
51,45.1863682757,5.7376488446,2016-04-19 17:38:00
52,45.1864297545,5.7377498417,2016-04-19 17:38:04
53,45.1864806505,5.737860154,2016-04-19 17:38:09
54,45.18640221,5.7379421738,2016-04-19 17:38:14
55,45.1862949321,5.737997768,2016-04-19 17:38:18
56,45.1861975432,5.7380055943,2016-04-19 17:38:22
57,45.1860993304,5.7379850869,2016-04-19 17:38:26
58,45.1860160059,5.7379350843,2016-04-19 17:38:30
59,45.1859410493,5.737861906,2016-04-19 17:38:36
60,45.1858474604,5.7378040615,2016-04-19 17:38:41
61,45.1857569762,5.7377966417,2016-04-19 17:38:44
62,45.1856587806,5.7377887384,2016-04-19 17:38:47
63,45.1855679631,5.7378036997,2016-04-19 17:38:50
64,45.185482229,5.7378486671,2016-04-19 17:38:54
65,45.1854086013,5.7379250128,2016-04-19 17:38:58
66,45.1853375056,5.7380088112,2016-04-19 17:39:02
67,45.18526295,5.7380870834,2016-04-19 17:39:06
68,45.1851731748,5.7381502475,2016-04-19 17:39:10
69,45.18508155,5.7381537003,2016-04-19 17:39:14
70,45.1849615657,5.7381321353,2016-04-19 17:39:18
71,45.1848508549,5.7381254076,2016-04-19 17:39:22
72,45.1847557075,5.7381337553,2016-04-19 17:39:26
73,45.1846584739,5.738115897,2016-04-19 17:39:30
74,45.1845587845,5.7380641363,2016-04-19 17:39:35
75,45.1844766169,5.7379985329,2016-04-19 17:39:39
76,45.1843934705,5.7379177623,2016-04-19 17:39:44
77,45.1843186676,5.737837169,2016-04-19 17:39:49
78,45.1842596013,5.7377237158,2016-04-19 17:39:55
79,45.1842204288,5.7376071861,2016-04-19 17:39:59
80,45.1841739411,5.7374861485,2016-04-19 17:40:03
81,45.184128179,5.7373557809,2016-04-19 17:40:08
82,45.1840725156,5.7372191941,2016-04-19 17:40:13
83,45.184018285,5.737095433,2016-04-19 17:40:17
84,45.1839795867,5.7369680422,2016-04-19 17:40:22
85,45.1839617823,5.7368184059,2016-04-19 17:40:27
86,45.1840234173,5.7366945494,2016-04-19 17:40:32
87,45.1841070854,5.7366151483,2016-04-19 17:40:36
88,45.1841955649,5.7365516827,2016-04-19 17:40:40
89,45.1842804875,5.7364865026,2016-04-19 17:40:44
90,45.1843607247,5.7364273778,2016-04-19 17:40:49
91,45.1844204497,5.7363098123,2016-04-19 17:40:54
92,45.1844186834,5.7361674613,2016-04-19 17:40:58
93,45.1843936812,5.7360275946,2016-04-19 17:41:02
94,45.1843661186,5.7359016256,2016-04-19 17:41:06
95,45.1843310389,5.735783164,2016-04-19 17:41:10
96,45.1843159984,5.7356410392,2016-04-19 17:41:14
97,45.184301084,5.7355071331,2016-04-19 17:41:18
98,45.1842956243,5.7353616037,2016-04-19 17:41:22
99,45.1843220638,5.7352202189,2016-04-19 17:41:26
100,45.1843698439,5.7351067687,2016-04-19 17:41:30
101,45.1844456852,5.7349934219,2016-04-19 17:41:34
102,45.1845197752,5.7349146043,2016-04-19 17:41:37
103,45.1845986316,5.7348080395,2016-04-19 17:41:41
104,45.1846582136,5.7346928027,2016-04-19 17:41:47
105,45.1847063678,5.7345776057,2016-04-19 17:41:53
106,45.1847761568,5.7344884091,2016-04-19 17:41:57
107,45.1848443421,5.7343899929,2016-04-19 17:42:01
108,45.184910901,5.734299234,2016-04-19 17:42:05
109,45.1850009066,5.7342181333,2016-04-19 17:42:10
110,45.1850891816,5.73425106,2016-04-19 17:42:16
111,45.1851442782,5.734391568,2016-04-19 17:42:21
112,45.1851955792,5.7345328043,2016-04-19 17:42:25
113,45.1852416146,5.7346456611,2016-04-19 17:42:29
114,45.1852951604,5.734782938,2016-04-19 17:42:34
115,45.185341094,5.7349083238,2016-04-19 17:42:39
116,45.1853840506,5.7350490032,2016-04-19 17:42:44
117,45.1854198588,5.7351663586,2016-04-19 17:42:48
118,45.1854560975,5.7352923399,2016-04-19 17:42:53
119,45.1854712502,5.7354206431,2016-04-19 17:42:58
120,45.1855088853,5.7355366685,2016-04-19 17:43:01
121,45.185587409,5.7356742403,2016-04-19 17:43:04
122,45.1856545173,5.7357733254,2016-04-19 17:43:07
123,45.1857200055,5.7358647974,2016-04-19 17:43:11
124,45.1857673807,5.7359775831,2016-04-19 17:43:16
125,45.1858135218,5.7360957481,2016-04-19 17:43:20
126,45.1858652615,5.7362327137,2016-04-19 17:43:25
127,45.1859190963,5.7363702323,2016-04-19 17:43:30
128,45.1859515639,5.7364907863,2016-04-19 17:43:34
129,45.1859894738,5.7366087202,2016-04-19 17:43:38
130,45.1860313351,5.7367311013,2016-04-19 17:43:42
131,45.1860737525,5.7368549874,2016-04-19 17:43:47
132,45.186114281,5.7369809837,2016-04-19 17:43:52
133,45.1861551736,5.7370948498,2016-04-19 17:43:56
134,45.186199866,5.7372277015,2016-04-19 17:44:01
135,45.1862552997,5.7373649033,2016-04-19 17:44:06
136,45.1863022935,5.7374798603,2016-04-19 17:44:10
137,45.1863588183,5.7376031948,2016-04-19 17:44:14
138,45.1864219785,5.7377093698,2016-04-19 17:44:18
139,45.1864602873,5.7378431691,2016-04-19 17:44:23
140,45.1863856768,5.7379483223,2016-04-19 17:44:27
141,45.1862739242,5.7379923576,2016-04-19 17:44:31
142,45.1861602898,5.7380072985,2016-04-19 17:44:35
143,45.1860552599,5.737992615,2016-04-19 17:44:39
144,45.1859537717,5.7379456216,2016-04-19 17:44:44
145,45.1858516973,5.7378817924,2016-04-19 17:44:49
146,45.1857557537,5.7378552898,2016-04-19 17:44:54
147,45.1856554656,5.7378345255,2016-04-19 17:44:59
148,45.1855541483,5.7378317753,2016-04-19 17:45:03
149,45.1854671544,5.7378754672,2016-04-19 17:45:06
150,45.1853826492,5.737947088,2016-04-19 17:45:09
151,45.1852866076,5.7380326028,2016-04-19 17:45:13
152,45.1852029019,5.7381230903,2016-04-19 17:45:18
153,45.1851077035,5.7381403188,2016-04-19 17:45:24
154,45.185009494,5.7381069622,2016-04-19 17:45:29
155,45.1849132692,5.7381006817,2016-04-19 17:45:33
156,45.1848095685,5.7381349476,2016-04-19 17:45:38
157,45.184708504,5.7381543328,2016-04-19 17:45:43
158,45.1846020162,5.7381283763,2016-04-19 17:45:48
159,45.1845152831,5.7380643283,2016-04-19 17:45:53
160,45.1844515893,5.7379738,2016-04-19 17:45:57
161,45.1843881379,5.7378485476,2016-04-19 17:46:02
162,45.1843303868,5.7377350778,2016-04-19 17:46:07
163,45.1842726014,5.7376185292,2016-04-19 17:46:12
164,45.1842259711,5.737503846,2016-04-19 17:46:17
165,45.1841693571,5.7373788954,2016-04-19 17:46:22
166,45.1841246209,5.7372432853,2016-04-19 17:46:27
167,45.1840749252,5.7371203374,2016-04-19 17:46:32
168,45.1840441514,5.7369900849,2016-04-19 17:46:36
169,45.184062207,5.7368498731,2016-04-19 17:46:41
170,45.1841239838,5.7367512479,2016-04-19 17:46:45
171,45.1842025856,5.7366529203,2016-04-19 17:46:49
172,45.1842740911,5.7365739152,2016-04-19 17:46:53
173,45.1843476743,5.7364899108,2016-04-19 17:46:57
174,45.1844213526,5.7364056006,2016-04-19 17:47:02
175,45.1844657204,5.7362840856,2016-04-19 17:47:07
176,45.1844610585,5.7361538192,2016-04-19 17:47:11
177,45.1844350112,5.7360160653,2016-04-19 17:47:15
178,45.1844115202,5.7358746361,2016-04-19 17:47:19
179,45.1843822928,5.735737304,2016-04-19 17:47:23
180,45.1843585224,5.7355970555,2016-04-19 17:47:27
181,45.1843496452,5.7354575913,2016-04-19 17:47:32
182,45.1843536743,5.7353108896,2016-04-19 17:47:37
183,45.1843942257,5.7351692016,2016-04-19 17:47:41
184,45.1844549611,5.7350696472,2016-04-19 17:47:44
185,45.1845230128,5.7349479903,2016-04-19 17:47:48
186,45.1845804957,5.7348305012,2016-04-19 17:47:52
187,45.1846339079,5.7347279331,2016-04-19 17:47:56
188,45.1846975878,5.7346116728,2016-04-19 17:48:02
189,45.184758222,5.7345001446,2016-04-19 17:48:07
190,45.1848456506,5.7343932784,2016-04-19 17:48:11
191,45.1849323034,5.7343026954,2016-04-19 17:48:15
192,45.1850168147,5.7342268488,2016-04-19 17:48:21
193,45.1850890885,5.7343274751,2016-04-19 17:48:29
194,45.1851464168,5.7344699136,2016-04-19 17:48:33
195,45.1852034001,5.7345990059,2016-04-19 17:48:37
196,45.1852529503,5.7347147662,2016-04-19 17:48:41
197,45.1853082951,5.7348524542,2016-04-19 17:48:46
198,45.1853682574,5.7349843307,2016-04-19 17:48:51
199,45.1854300886,5.7351095934,2016-04-19 17:48:56
200,45.1854922378,5.7352297752,2016-04-19 17:49:01
201,45.1855369425,5.7353639176,2016-04-19 17:49:06
202,45.1855713266,5.7354933903,2016-04-19 17:49:10
203,45.1856105092,5.7356215251,2016-04-19 17:49:14
204,45.1856488897,5.7357406863,2016-04-19 17:49:18
205,45.1856818875,5.7358619035,2016-04-19 17:49:22
206,45.1857209739,5.7359906691,2016-04-19 17:49:26
207,45.1857663355,5.7361075846,2016-04-19 17:49:30
208,45.1858141777,5.736218452,2016-04-19 17:49:34
209,45.1858607586,5.7363438652,2016-04-19 17:49:38
210,45.1859088174,5.7364808154,2016-04-19 17:49:41
211,45.1859645238,5.7366154253,2016-04-19 17:49:45
212,45.1860036805,5.7367425291,2016-04-19 17:49:53
213,45.1860497434,5.7368568125,2016-04-19 17:49:57
214,45.1860989806,5.7369687845,2016-04-19 17:50:01
215,45.1861531495,5.7370890298,2016-04-19 17:50:06
216,45.186207525,5.7372060173,2016-04-19 17:50:11
217,45.1862634417,5.7373263036,2016-04-19 17:50:16
218,45.1863137209,5.737456005,2016-04-19 17:50:21
219,45.1863716171,5.7375849279,2016-04-19 17:50:26
220,45.1864338901,5.7377181019,2016-04-19 17:50:31
221,45.1864922648,5.7378188926,2016-04-19 17:50:35
222,45.1865554716,5.7379310371,2016-04-19 17:50:40
223,45.1866034523,5.7380595027,2016-04-19 17:50:45
224,45.1866587184,5.7381970918,2016-04-19 17:50:49
