num_point,latitude,longitude,timestamp
0,45.1839922424,5.741735553,2016-04-06 16:05:22
1,45.1839958431,5.7415449693,2016-04-06 16:05:25
2,45.1840227474,5.7414218639,2016-04-06 16:05:33
3,45.1841073462,5.7413247329,2016-04-06 16:05:40
4,45.184201844,5.7412636368,2016-04-06 16:05:46
5,45.1843019484,5.7412385061,2016-04-06 16:05:53
6,45.1843978004,5.7412058326,2016-04-06 16:05:58
7,45.1844802722,5.7411093764,2016-04-06 16:06:04
8,45.1844765575,5.7409815205,2016-04-06 16:06:09
9,45.1844330103,5.7408660307,2016-04-06 16:06:16
10,45.1844235201,5.7407205099,2016-04-06 16:06:43
11,45.1844978088,5.7406347127,2016-04-06 16:06:52
12,45.1845906354,5.7405646793,2016-04-06 16:06:58
13,45.1846755521,5.7404799869,2016-04-06 16:07:04
14,45.1847431849,5.7403835494,2016-04-06 16:07:10
15,45.184793369,5.7402772633,2016-04-06 16:07:15
16,45.1848328875,5.740162052,2016-04-06 16:07:20
17,45.184894247,5.7400642212,2016-04-06 16:07:25
18,45.1849572842,5.7399705063,2016-04-06 16:07:30
19,45.1850260397,5.7398780939,2016-04-06 16:07:39
20,45.1851006256,5.7397836448,2016-04-06 16:07:46
21,45.1851723473,5.7397057396,2016-04-06 16:07:51
22,45.1852446931,5.7396283308,2016-04-06 16:07:57
23,45.1853366692,5.7395879109,2016-04-06 16:08:03
24,45.1854350508,5.7395433579,2016-04-06 16:08:09
25,45.185522189,5.7395067483,2016-04-06 16:08:15
26,45.1856189052,5.739503523,2016-04-06 16:08:23
27,45.1856852102,5.7393999817,2016-04-06 16:08:30
28,45.1857501249,5.7392761313,2016-04-06 16:08:35
29,45.185793615,5.7391322158,2016-04-06 16:08:39
30,45.1857853221,5.7389829527,2016-04-06 16:08:43
31,45.1857358769,5.7388397068,2016-04-06 16:08:47
32,45.1856733504,5.7387118316,2016-04-06 16:08:51
33,45.1856073455,5.7386228258,2016-04-06 16:08:55
34,45.1855230816,5.7385432172,2016-04-06 16:08:59
35,45.185447578,5.7384567474,2016-04-06 16:09:05
36,45.1854029982,5.7383359741,2016-04-06 16:09:09
37,45.1853501267,5.7382201403,2016-04-06 16:09:13
38,45.1853021062,5.7380929751,2016-04-06 16:09:18
39,45.1852462701,5.737961316,2016-04-06 16:09:23
40,45.1851711942,5.7378612649,2016-04-06 16:09:27
41,45.1850873092,5.7377535276,2016-04-06 16:09:31
42,45.1850273868,5.73763109,2016-04-06 16:09:35
43,45.1849757078,5.7375198042,2016-04-06 16:09:39
44,45.1849205857,5.7373959872,2016-04-06 16:09:43
45,45.1848530787,5.7372724439,2016-04-06 16:09:47
46,45.184786906,5.7371479856,2016-04-06 16:09:52
47,45.1847359673,5.7370270618,2016-04-06 16:09:57
48,45.1846901802,5.7368948445,2016-04-06 16:10:02
49,45.1846498993,5.7367516518,2016-04-06 16:10:07
50,45.184604121,5.736621434,2016-04-06 16:10:11
51,45.1845553312,5.7364849613,2016-04-06 16:10:15
52,45.1844913332,5.7363472466,2016-04-06 16:10:19
53,45.1844290462,5.7362206055,2016-04-06 16:10:23
54,45.1843794589,5.7360949163,2016-04-06 16:10:27
55,45.184344097,5.7359649465,2016-04-06 16:10:31
56,45.1843085628,5.7358244567,2016-04-06 16:10:36
57,45.1843075223,5.7356897595,2016-04-06 16:10:40
58,45.1843146304,5.7355563207,2016-04-06 16:10:44
59,45.184326176,5.7354260061,2016-04-06 16:10:48
60,45.1843430112,5.7352977177,2016-04-06 16:10:52
61,45.184374344,5.7351599874,2016-04-06 16:10:57
62,45.1844250306,5.7350213978,2016-04-06 16:11:02
63,45.1844663739,5.7348906053,2016-04-06 16:11:06
64,45.1845108628,5.7347642804,2016-04-06 16:11:11
65,45.1845908047,5.7346579154,2016-04-06 16:11:16
66,45.1846626407,5.7345710984,2016-04-06 16:11:20
67,45.1847394231,5.7344792133,2016-04-06 16:11:24
68,45.1848129942,5.7343881551,2016-04-06 16:11:28
69,45.1848891122,5.7343089472,2016-04-06 16:11:32
70,45.1849769567,5.7342385776,2016-04-06 16:11:37
71,45.1850696059,5.7341915314,2016-04-06 16:11:42
72,45.1851306978,5.7342911842,2016-04-06 16:11:47
73,45.1851806446,5.7344255478,2016-04-06 16:11:51
74,45.1852239289,5.7345374441,2016-04-06 16:11:54
75,45.1852642145,5.7346722142,2016-04-06 16:11:58
76,45.1853054916,5.7347986335,2016-04-06 16:12:03
77,45.1853511835,5.7349372251,2016-04-06 16:12:08
78,45.185402346,5.7350711967,2016-04-06 16:12:12
79,45.1854549105,5.7351913478,2016-04-06 16:12:16
80,45.1855156472,5.7353100379,2016-04-06 16:12:20
81,45.1855785335,5.7354324262,2016-04-06 16:12:24
82,45.1856430503,5.7355534733,2016-04-06 16:12:28
83,45.1857001437,5.7356793243,2016-04-06 16:12:33
84,45.1857381018,5.7358148567,2016-04-06 16:12:39
85,45.1857702994,5.7359358583,2016-04-06 16:12:43
86,45.1858168188,5.7360829237,2016-04-06 16:12:48
87,45.1858593259,5.7362101685,2016-04-06 16:12:51
88,45.1859024749,5.7363280687,2016-04-06 16:12:54
89,45.1859507209,5.7364730987,2016-04-06 16:12:58
90,45.1859927607,5.736591513,2016-04-06 16:13:03
91,45.1860391249,5.7367262295,2016-04-06 16:13:09
92,45.1860836875,5.7368533769,2016-04-06 16:13:14
93,45.1861293926,5.7369899417,2016-04-06 16:13:19
94,45.1861883491,5.7371169429,2016-04-06 16:13:25
95,45.1862507747,5.7372370295,2016-04-06 16:13:30
96,45.1863108613,5.7373707819,2016-04-06 16:13:34
97,45.1863714742,5.7375112936,2016-04-06 16:13:38
98,45.1864228144,5.7376443296,2016-04-06 16:13:42
99,45.1864668409,5.737773888,2016-04-06 16:13:47
100,45.1864207116,5.7379026346,2016-04-06 16:13:52
101,45.1863231973,5.7379533601,2016-04-06 16:13:56
102,45.1862135231,5.7379886922,2016-04-06 16:14:00
103,45.1861073318,5.7379901618,2016-04-06 16:14:04
104,45.186013608,5.7379748719,2016-04-06 16:14:08
105,45.1859133433,5.7379520629,2016-04-06 16:14:13
106,45.1858114074,5.7379412035,2016-04-06 16:14:19
107,45.1857210273,5.7379382208,2016-04-06 16:14:24
108,45.1856295349,5.737957976,2016-04-06 16:14:29
109,45.1855358512,5.7380036484,2016-04-06 16:14:34
110,45.1854421858,5.7380826073,2016-04-06 16:14:38
111,45.185337659,5.7381618596,2016-04-06 16:14:42
112,45.1852433036,5.7382245776,2016-04-06 16:14:46
113,45.1851496382,5.7382510328,2016-04-06 16:14:50
114,45.1850578616,5.7381571608,2016-04-06 16:14:55
