num_point,latitude,longitude,timestamp
0,45.18667737,5.74047038,2016-02-23 18:28:50
1,45.1867732643,5.7404443155,2016-02-23 18:29:00
2,45.1867697165,5.7405752959,2016-02-23 18:29:09
3,45.1867744326,5.7407103025,2016-02-23 18:29:16
4,45.1868579114,5.7407897023,2016-02-23 18:29:22
5,45.1869389866,5.740851186,2016-02-23 18:29:27
6,45.1869985395,5.7409676013,2016-02-23 18:29:33
7,45.187042748,5.7410964869,2016-02-23 18:29:39
8,45.1871054899,5.7412141488,2016-02-23 18:29:45
9,45.1871654101,5.7413310992,2016-02-23 18:29:51
10,45.1872197155,5.7414329095,2016-02-23 18:29:57
11,45.1873060528,5.7415063627,2016-02-23 18:30:03
12,45.1874026466,5.7415430006,2016-02-23 18:30:09
13,45.1874996782,5.7415235121,2016-02-23 18:30:15
14,45.187593915,5.7415022428,2016-02-23 18:30:22
15,45.1876626123,5.7414020816,2016-02-23 18:30:31
16,45.1877293831,5.7412880507,2016-02-23 18:30:37
17,45.1878040354,5.7412144607,2016-02-23 18:30:41
18,45.1878950966,5.7411469069,2016-02-23 18:30:45
19,45.1879807087,5.7410721552,2016-02-23 18:30:49
20,45.1880693708,5.7410056678,2016-02-23 18:30:56
21,45.1881578441,5.7409310021,2016-02-23 18:31:03
22,45.1882265499,5.7408318581,2016-02-23 18:31:16
23,45.1882995791,5.740736694,2016-02-23 18:31:22
24,45.1883396315,5.7406082758,2016-02-23 18:31:28
25,45.1883707787,5.7404709612,2016-02-23 18:31:34
26,45.1883659758,5.7403423594,2016-02-23 18:31:40
27,45.1883547319,5.7402149721,2016-02-23 18:31:47
28,45.1882843882,5.7401181561,2016-02-23 18:31:53
29,45.1882342862,5.7399942914,2016-02-23 18:31:59
30,45.1882463294,5.7398309483,2016-02-23 18:32:04
31,45.1882478518,5.7396877468,2016-02-23 18:32:07
32,45.1882326081,5.7395326384,2016-02-23 18:32:10
33,45.1882016312,5.7393919214,2016-02-23 18:32:13
34,45.1881584468,5.7392769131,2016-02-23 18:32:16
35,45.1880902012,5.7391551407,2016-02-23 18:32:20
36,45.1880326713,5.7390433678,2016-02-23 18:32:24
37,45.1879774669,5.7389145314,2016-02-23 18:32:28
38,45.1879141039,5.7387703305,2016-02-23 18:32:32
39,45.1878622629,5.7386634401,2016-02-23 18:32:35
40,45.1877738609,5.7385551575,2016-02-23 18:32:39
41,45.1876836219,5.7385150813,2016-02-23 18:32:42
42,45.1875792234,5.7385127553,2016-02-23 18:32:45
43,45.1874738414,5.7385372287,2016-02-23 18:32:48
44,45.1873831999,5.7385988771,2016-02-23 18:32:51
45,45.1873106174,5.7386846738,2016-02-23 18:32:54
46,45.1872419939,5.738813883,2016-02-23 18:32:58
47,45.1871738192,5.7389381802,2016-02-23 18:33:02
48,45.1870896083,5.739042717,2016-02-23 18:33:06
49,45.1869950535,5.7391405373,2016-02-23 18:33:10
50,45.1869144011,5.7392524808,2016-02-23 18:33:14
51,45.18684788,5.7393619875,2016-02-23 18:33:18
52,45.1867827092,5.7394750099,2016-02-23 18:33:23
53,45.1867367777,5.7395870147,2016-02-23 18:33:27
54,45.1866874151,5.7397276528,2016-02-23 18:33:31
55,45.1866531504,5.7398454953,2016-02-23 18:33:34
56,45.1866490966,5.7399820764,2016-02-23 18:33:38
57,45.1866930618,5.7401296957,2016-02-23 18:33:43
