num_point,latitude,longitude,timestamp
0,45.18718858,5.73782636,2015-09-21 17:41:58
1,45.1871123868,5.7377365259,2015-09-21 17:42:06
2,45.1870477866,5.737634774,2015-09-21 17:42:11
3,45.1869708528,5.7375548086,2015-09-21 17:42:15
4,45.1868463598,5.7375669439,2015-09-21 17:42:21
5,45.1867419817,5.7376144407,2015-09-21 17:42:26
6,45.186647546,5.7376454103,2015-09-21 17:42:31
7,45.1865609914,5.737687257,2015-09-21 17:42:37
8,45.1864781675,5.7377472987,2015-09-21 17:42:44
9,45.1863822429,5.7377325728,2015-09-21 17:42:52
10,45.1863270455,5.7376174922,2015-09-21 17:42:58
11,45.1862791881,5.737467468,2015-09-21 17:43:05
12,45.1862500218,5.73734042,2015-09-21 17:43:12
13,45.1862118111,5.7372214431,2015-09-21 17:43:21
14,45.1861682096,5.7370751316,2015-09-21 17:43:31
15,45.1861176529,5.7369533392,2015-09-21 17:43:39
16,45.1860557678,5.7368306445,2015-09-21 17:43:49
17,45.186026053,5.7366916461,2015-09-21 17:43:56
18,45.1859731519,5.7365666081,2015-09-21 17:44:03
19,45.1859310338,5.7364458273,2015-09-21 17:44:09
20,45.1858737291,5.7363278118,2015-09-21 17:44:15
21,45.1858203555,5.7362055433,2015-09-21 17:44:22
22,45.1857515726,5.7360799456,2015-09-21 17:44:30
23,45.1856879157,5.7359356097,2015-09-21 17:44:37
24,45.1856589876,5.735810743,2015-09-21 17:44:42
25,45.1856199645,5.7356778035,2015-09-21 17:44:48
26,45.1855682305,5.7355382786,2015-09-21 17:44:55
27,45.185529339,5.7354159241,2015-09-21 17:45:01
28,45.185480582,5.7352983622,2015-09-21 17:45:07
29,45.1854278018,5.7351952092,2015-09-21 17:45:13
30,45.1853879564,5.7350760568,2015-09-21 17:45:20
31,45.1851302868,5.7344262635,2015-09-21 17:45:55
32,45.1850726746,5.7343133088,2015-09-21 17:46:02
33,45.1850055981,5.7342194352,2015-09-21 17:46:08
34,45.1848846336,5.7342360044,2015-09-21 17:46:15
35,45.1847946093,5.7343076297,2015-09-21 17:46:20
36,45.1847017386,5.7343905834,2015-09-21 17:46:26
37,45.1846241716,5.7344770223,2015-09-21 17:46:32
38,45.1845558874,5.7345735077,2015-09-21 17:46:38
39,45.184467327,5.7346698185,2015-09-21 17:46:45
40,45.1843744587,5.7346940587,2015-09-21 17:46:54
41,45.184308927,5.7345848984,2015-09-21 17:47:01
42,45.1842265359,5.7344928138,2015-09-21 17:47:08
43,45.184142499,5.734436848,2015-09-21 17:47:15
44,45.1840405132,5.7343930937,2015-09-21 17:47:26
45,45.1839732563,5.7344909487,2015-09-21 17:47:30
46,45.1839159839,5.7346022817,2015-09-21 17:47:33
47,45.1838400889,5.7347189218,2015-09-21 17:47:37
48,45.1837521081,5.7348037886,2015-09-21 17:47:41
49,45.183640777,5.7348780847,2015-09-21 17:47:46
50,45.1835407001,5.7349219588,2015-09-21 17:47:51
51,45.1834601748,5.7350123005,2015-09-21 17:47:58
52,45.1833745169,5.7351025741,2015-09-21 17:48:03
53,45.1833059855,5.735200177,2015-09-21 17:48:07
54,45.183253416,5.7353190504,2015-09-21 17:48:11
55,45.1832270194,5.735453846,2015-09-21 17:48:15
56,45.1832594504,5.735605026,2015-09-21 17:48:20
57,45.1833257085,5.7357047952,2015-09-21 17:48:25
58,45.1833915534,5.7358153657,2015-09-21 17:48:32
59,45.1834068368,5.7359448564,2015-09-21 17:48:38
60,45.1834083923,5.7360839542,2015-09-21 17:48:43
61,45.1834399038,5.7362160439,2015-09-21 17:48:49
62,45.1834834568,5.7363385132,2015-09-21 17:48:55
63,45.1835545628,5.736469515,2015-09-21 17:49:02
64,45.1836330845,5.7366010897,2015-09-21 17:49:09
65,45.1836764984,5.7367377604,2015-09-21 17:49:16
66,45.1837771093,5.7367022491,2015-09-21 17:49:25
67,45.1838334662,5.7365783693,2015-09-21 17:49:30
68,45.1838867852,5.7364489559,2015-09-21 17:49:36
69,45.1839389972,5.7363191173,2015-09-21 17:49:43
70,45.1840199994,5.7362603658,2015-09-21 17:49:50
71,45.1841169854,5.7362419826,2015-09-21 17:49:57
72,45.184227782,5.7362416985,2015-09-21 17:50:04
73,45.1843217221,5.7362735014,2015-09-21 17:50:10
74,45.1844193003,5.7363455321,2015-09-21 17:50:17
75,45.1844967877,5.7364423035,2015-09-21 17:50:24
76,45.184797196,5.7370201462,2015-09-21 17:50:55
77,45.1848374983,5.7371349638,2015-09-21 17:51:01
78,45.1848883367,5.7372558682,2015-09-21 17:51:08
79,45.1849341228,5.7373901984,2015-09-21 17:51:15
80,45.1849780953,5.7375155047,2015-09-21 17:51:21
81,45.1850280352,5.7376682103,2015-09-21 17:51:28
82,45.185067353,5.7377839013,2015-09-21 17:51:34
83,45.1851234204,5.7379027722,2015-09-21 17:51:42
84,45.1851788647,5.7380110094,2015-09-21 17:51:49
85,45.1852040252,5.7381516975,2015-09-21 17:51:56
86,45.1852420585,5.7382880597,2015-09-21 17:52:01
87,45.1852990107,5.7384182311,2015-09-21 17:52:05
88,45.1853395236,5.7385719069,2015-09-21 17:52:09
89,45.1853860295,5.7387216315,2015-09-21 17:52:13
90,45.185430714,5.7388525455,2015-09-21 17:52:17
91,45.1854722359,5.7389719761,2015-09-21 17:52:21
92,45.1855082992,5.7391019016,2015-09-21 17:52:25
93,45.1855698212,5.739228403,2015-09-21 17:52:29
94,45.1856223465,5.7393334096,2015-09-21 17:52:32
